ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_pct
2069-01-01,9885.393115623956,10010.117216782071,11217.778302766028,9852.021675569144,9919.597461514273,754.5628921301218,754.5628921301218,754.5628921301218,754.5628921301218,754.5628921301218,754.5628921301218,0.0,0.0,0.0,10639.956007754077,23.016952782018983
2070-01-01,9997.253789925793,10141.134032430964,11344.208656845354,9962.828622802206,10032.598581903281,752.2519017660982,752.2519017660982,752.2519017660982,752.2519017660982,752.2519017660982,752.2519017660982,0.0,0.0,0.0,10749.505691691891,23.01820189760692
2071-01-01,10109.114464227632,10279.796483818109,11481.911165793275,10073.858666688318,10145.788684698662,770.6374492969877,770.6374492969877,770.6374492969877,770.6374492969877,770.6374492969877,770.6374492969877,0.0,0.0,0.0,10879.75191352462,23.06329922581341
2072-01-01,10220.975138529471,10394.54243749563,11646.661775807046,10184.262777475646,10258.706732311088,809.7044684281258,809.7044684281258,809.7044684281258,809.7044684281258,809.7044684281258,809.7044684281258,0.0,0.0,0.0,11030.679606957598,23.150906122265102
2073-01-01,10333.142280432137,10500.143168979377,11659.636948248393,10295.491025654506,10372.02582039507,754.5628921303323,754.5628921303323,754.5628921303323,754.5628921303323,754.5628921303323,754.5628921303323,0.0,0.0,0.0,11087.70517256247,23.041648770766
2074-01-01,10445.002954733978,10628.158382133466,11791.283659743336,10406.106423363712,10484.85280986059,752.2519017661658,752.2519017661658,752.2519017661658,752.2519017661658,752.2519017661658,752.2519017661658,0.0,0.0,0.0,11197.254856500143,23.042608611492593
2075-01-01,10556.863629035817,10711.232311301872,11945.623536237927,10516.914489123212,10597.965464243161,770.6374492968162,770.6374492968162,770.6374492968162,770.6374492968162,770.6374492968162,770.6374492968162,0.0,0.0,0.0,11327.501078332632,23.085729991340916
2076-01-01,10668.724303337654,10835.093329643321,12059.851816083248,10627.750024884426,10711.032513458105,809.7044684288289,809.7044684288289,809.7044684288289,809.7044684288289,809.7044684288289,809.7044684288289,0.0,0.0,0.0,11478.428771766483,23.169773789619448
2077-01-01,10780.89144524032,10948.780307038973,12159.773351893764,10739.042389547212,10824.048684120895,754.5628921301062,754.5628921301062,754.5628921301062,754.5628921301062,754.5628921301062,754.5628921301062,0.0,0.0,0.0,11535.454337370427,23.064474637975906
2078-01-01,10892.75211954216,11063.94250530089,12235.769211101819,10849.974098372975,10936.992888299654,752.2519017660527,752.2519017660527,752.2519017660527,752.2519017660527,752.2519017660527,752.2519017660527,0.0,0.0,0.0,11645.004021308212,23.065184440027796
2079-01-01,11004.612793843999,11149.9132682174,12348.25987283401,10960.451430198023,11050.026140842243,770.6374492963951,770.6374492963951,770.6374492963951,770.6374492963951,770.6374492963951,770.6374492963951,0.0,0.0,0.0,11775.250243140394,23.106493730190444
2080-01-01,11116.473468145836,11329.614928281257,12510.851589303998,11071.095398459742,11163.068960336954,809.704468428465,809.704468428465,809.704468428465,809.704468428465,809.704468428465,809.704468428465,0.0,0.0,0.0,11926.1779365743,23.187252141854007
2081-01-01,11228.640610048504,11397.496632601746,12620.278041328607,11182.257290968131,11276.76107770146,754.5628921303103,754.5628921303103,754.5628921303103,754.5628921303103,754.5628921303103,754.5628921303103,0.0,0.0,0.0,11983.203502178814,23.08563505852473
2082-01-01,11340.501284350343,11457.740649142972,12670.993286584633,11292.957599661377,11389.958667723855,752.2519017660969,752.2519017660969,752.2519017660969,752.2519017660969,752.2519017660969,752.2519017660969,0.0,0.0,0.0,12092.753186116439,23.086127952862647
2083-01-01,11452.361958652182,11641.490282054132,12859.23144962545,11403.839992177287,11503.493601753102,770.6374492969721,770.6374492969721,770.6374492969721,770.6374492969721,770.6374492969721,770.6374492969721,0.0,0.0,0.0,12222.999407949153,23.125769621222357
2084-01-01,11564.22263295402,11765.083669863063,12986.153501011622,11513.867484693921,11616.372169221953,809.7044684286911,809.7044684286911,809.7044684286911,809.7044684286911,809.7044684286911,809.7044684286911,0.0,0.0,0.0,12373.927101382713,23.203489182584068
2085-01-01,11676.389774856685,11844.12441792458,13060.563271977937,11624.706746578668,11729.578604484308,754.5628921302374,754.5628921302374,754.5628921302374,754.5628921302374,754.5628921302374,754.5628921302374,0.0,0.0,0.0,12430.952666986923,23.10530589110694
2086-01-01,11788.250449158524,11971.265971925584,13165.099775672346,11735.524848309044,11842.578440428093,752.2519017661723,752.2519017661723,752.2519017661723,752.2519017661723,752.2519017661723,752.2519017661723,0.0,0.0,0.0,12540.502350924697,23.105610006877146
2087-01-01,11900.111123460363,12047.981603441523,13308.484358822328,11846.114261855077,11956.22369454429,770.6374492971865,770.6374492971865,770.6374492971865,770.6374492971865,770.6374492971865,770.6374492971865,0.0,0.0,0.0,12670.74857275755,23.14371205297616
2088-01-01,12011.971797762204,12215.665572351809,13495.406365281968,11957.234650906636,12069.397864825605,809.7044684281531,809.7044684281531,809.7044684281531,809.7044684281531,809.7044684281531,809.7044684281531,0.0,0.0,0.0,12821.676266190358,23.21861261390986
2089-01-01,12124.13893966487,12219.917993911638,13519.288666623728,12068.647802425421,12182.960478077379,754.5628921301075,754.5628921301075,754.5628921301075,754.5628921301075,754.5628921301075,754.5628921301075,0.0,0.0,0.0,12878.701831794977,23.123639077100158
2090-01-01,12235.99961396671,12368.615239730616,13569.532074676541,12179.12399917397,12296.414188862384,752.2519017658591,752.2519017658591,752.2519017658591,752.2519017658591,752.2519017658591,752.2519017658591,0.0,0.0,0.0,12988.251515732569,23.12377841774919
2091-01-01,12347.860288268546,12548.084426887632,13743.832509226586,12289.59809698895,12409.471210413469,770.6374492964327,770.6374492964327,770.6374492964327,770.6374492964327,770.6374492964327,770.6374492964327,0.0,0.0,0.0,13118.49773756498,23.16045476767627
2092-01-01,12459.720962570385,12663.182436129524,13899.05253535107,12400.57121528651,12522.710906269449,809.7044684287406,809.7044684287406,809.7044684287406,809.7044684287406,809.7044684287406,809.7044684287406,0.0,0.0,0.0,13269.425430999127,23.232733201940352
2093-01-01,12571.888104473051,12736.733414186561,13942.822241548482,12511.363256315935,12635.917512258486,754.5628921297878,754.5628921297878,754.5628921297878,754.5628921297878,754.5628921297878,754.5628921297878,0.0,0.0,0.0,13326.45099660284,23.14076657289564
2094-01-01,12683.74877877489,12815.754133604294,14048.893824693034,12621.9066876715,12749.338880975962,752.251901766106,752.251901766106,752.251901766106,752.251901766106,752.251901766106,752.251901766106,0.0,0.0,0.0,13436.000680540996,23.140761717356245
2095-01-01,12795.609453076731,12955.898432224087,14163.094242027648,12732.693163003902,12862.957113226339,770.637449297028,770.637449297028,770.637449297028,770.637449297028,770.637449297028,770.637449297028,0.0,0.0,0.0,13566.24690237376,23.176114200862706
2096-01-01,12907.47012737857,13101.898426668806,14330.33886974125,12843.539479170093,12976.455802464863,809.7044684290083,809.7044684290083,809.7044684290083,809.7044684290083,809.7044684290083,809.7044684290083,0.0,0.0,0.0,13717.174595807579,23.24594749427057
2097-01-01,13019.637269281235,13157.383742353202,14366.10334510746,12954.592922319924,13090.075146166851,754.5628921305091,754.5628921305091,754.5628921305091,754.5628921305091,754.5628921305091,754.5628921305091,0.0,0.0,0.0,13774.200161411743,23.156803531098884
2098-01-01,13131.497943583074,13245.60627933505,14520.988315294422,13065.32051894852,13203.340278662192,752.2519017661931,752.2519017661931,752.2519017661931,752.2519017661931,752.2519017661931,752.2519017661931,0.0,0.0,0.0,13883.749845349266,23.15667219911595
